Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100
